주문번호,수령방법,결제방법,항목,추가선택,드레싱,서비스타입,주문금액,배달팁,결제금액,주문시각,접수시각,배달시각,주소,요청사항,배달요청사항,실제배달료
B0R5015GYZ,배달,바로결제,"목살 샐러드, 숲속 샐러드",,"오리엔탈, 오리엔탈",배민,12300,3000,15300,2020-09-04 18:35:53,2020-09-04 18:37:13,2020-09-04 19:37:13,전북 전주시 덕진구 금암1동 ****,-,조심히 안전하게 와주세요 :),
B0R5012DYV,배달,바로결제,목살 샐러드,"숲속토핑 (110g), 삶은 달걀","렌치, 렌치",배민,10200,3000,13200,2020-09-04 18:13:57,2020-09-04 18:16:09,2020-09-04 19:16:09,전북 전주시 덕진구 금암1동 ****,-,조심히 안전하게 와주세요 :),
B0R5010KI2,배달,바로결제,"이너프 샐러드, 닭가슴살 샐러드",,"오리엔탈, 오리엔탈",배민,10200,3500,13700,2020-09-04 18:02:15,2020-09-04 18:03:30,2020-09-04 19:03:30,전북 전주시 덕진구 진북동 ****,맛있게부탁드려요드레싱은따로주세요,문앞에두고문두드려주세요,
B0R500Z6VV,배달,바로결제,"훈제연어 샐러드, 목살 샐러드","연어 (100g), 삶은 달걀, 목살 (100g), 삶은 달걀","렌치, 오리엔탈",배민,21800,4000,25800,2020-09-04 17:53:43,2020-09-04 17:53:57,2020-09-04 18:53:57,전북 전주시 덕진구 송천1동 ****,-,조심히 안전하게 와주세요 :),
B0R500Y694,배달,바로결제,"훈제연어 샐러드, 목살 샐러드",,"렌치, 발사믹",배민,13300,4500,17800,2020-09-04 17:44:00,2020-09-04 17:44:15,2020-09-04 18:44:15,전북 전주시 덕진구 인후1동 ****,-,현관1215 문앞에 놔주세요,
B0R500UZOT,배달,바로결제,훈제연어 샐러드,목살 (100g),렌치,배민,10200,3500,13700,2020-09-04 17:15:25,2020-09-04 17:15:32,2020-09-04 18:15:32,전북 전주시 완산구 서신동 ****,(수저포크X),문앞에 두고 벨 눌러주세요,
B0R500TZN8,배달,바로결제,"이너프 샐러드, 목살 샐러드, 이너프 샐러드",숲속토핑 (110g),"오리엔탈, 오리엔탈, 렌치",배민,21400,3000,24400,2020-09-04 16:59:09,2020-09-04 16:59:46,2020-09-04 17:59:46,전북 전주시 덕진구 덕진동 ****,-,조심히 안전하게 와주세요 :),
B0R500TW22,배달,바로결제,"숲속 샐러드, 이너프 샐러드",,"발사믹, 렌치",배민,10200,3500,13700,2020-09-04 16:58:40,2020-09-04 16:59:40,2020-09-04 17:59:40,전북 전주시 완산구 서신동 ****,-,조심히 안전하게 와주세요 :),
B0R500TWSL,배달,바로결제,"이너프 샐러드, 닭가슴살 샐러드","삶은 달걀, 삶은 달걀","발사믹, 오리엔탈",배민,11200,3000,14200,2020-09-04 16:58:36,2020-09-04 16:59:33,2020-09-04 17:59:33,전북 전주시 덕진구 금암2동 ****,-,문 앞에 놓고 가주세요.,
B0R500T56X,배달,만나서결제,닭가슴살 샐러드,,렌치,배민,11800,3500,15300,2020-09-04 16:49:27,2020-09-04 16:50:31,2020-09-04 17:50:31,전북 전주시 덕진구 인후2동 ****,-,조심히 안전하게 와주세요 :),
