주문번호,수령방법,결제방법,항목,추가선택,드레싱,서비스타입,주문금액,배달팁,결제금액,주문시각,접수시각,배달시각,주소,요청사항,배달요청사항
4617750,매장식사,나우웨이팅 POS,목살 샐러드,,발사믹,onsite,6400,0,6400,2020-08-17 18:40:23,-,-,X,,-
4617659,포장,나우웨이팅 POS,닭가슴살 샐러드,강낭콩X,오리엔탈,onsite,5900,0,5900,2020-08-17 18:33:59,-,-,X,,-
4617644,포장,나우웨이팅 POS,숲속 샐러드,"올리브X, 고구마 50g 추가",발사믹,onsite,6600,0,6600,2020-08-17 18:33:20,-,-,X,,-
4617627,"매장식사, 매장식사",나우웨이팅 POS,"숲속 샐러드, 목살 샐러드",고구마(50g),"오리엔탈, 오리엔탈",onsite,13000,0,13000,2020-08-17 18:31:50,-,-,X,,-
4617575,포장,나우웨이팅 POS,이너프 샐러드,할라피뇨 X,발사믹,onsite,4300,0,4300,2020-08-17 18:28:39,-,-,X,,-
4617508,포장,나우웨이팅 POS,목살 샐러드,,발사믹,onsite,6400,0,6400,2020-08-17 18:24:46,-,-,X,,-
4617499,"포장, 포장, 포장",나우웨이팅 POS,"목살 샐러드, 목살 샐러드, 숲속 샐러드",,"오리엔탈, 렌치, 발사믹",onsite,18700,0,18700,2020-08-17 18:24:14,-,-,X,,-
4617449,매장식사,나우웨이팅 POS,"목살 샐러드, 목살 샐러드",,오리엔탈,onsite,12800,0,12800,2020-08-17 18:21:16,-,-,X,,-
4617399,매장식사,나우웨이팅 POS,"목살 샐러드, 목살 샐러드",숲속토핑(110g) 추가,오리엔탈,onsite,17000,0,17000,2020-08-17 18:17:16,-,-,X,,-
4617300,"매장식사, 매장식사",나우웨이팅 POS,"목살 샐러드, 목살 샐러드",,"렌치, 발사믹",onsite,12800,0,12800,2020-08-17 18:10:28,-,-,X,,-
4617286,"매장식사, 매장식사",나우웨이팅 POS,"숲속 샐러드, 목살 샐러드","고구마(50g), 할라피뇨 X","발사믹, 오리엔탈",onsite,13000,0,13000,2020-08-17 18:09:34,-,-,X,,-
4617264,포장,나우웨이팅 POS,닭가슴살 샐러드,닭가슴살(100g) 추가,오리엔탈,onsite,8000,0,8000,2020-08-17 18:08:04,-,-,X,,-
4617249,포장,나우웨이팅 POS,이너프 샐러드,고구마(50g),발사믹,onsite,5000,0,5000,2020-08-17 18:06:46,-,-,X,,-
4617196,"포장, 포장",나우웨이팅 POS,"숲속 샐러드, 목살 샐러드",고구마(100g),"오리엔탈, 발사믹",onsite,13700,0,13700,2020-08-17 18:03:17,-,-,X,,-
4617121,포장,나우웨이팅 POS,닭가슴살 샐러드,"숲속토핑(110g) 추가, 고구마(50g)",드레싱 제외,onsite,8700,0,8700,2020-08-17 17:57:39,-,-,X,,-
4617080,"매장식사, 포장",나우웨이팅 POS,"목살 샐러드, 이너프 샐러드",,"오리엔탈, 렌치",onsite,10700,0,10700,2020-08-17 17:54:33,-,-,X,,-
4617068,매장식사,나우웨이팅 POS,닭가슴살 샐러드,계란,발사믹,onsite,6400,0,6400,2020-08-17 17:53:38,-,-,X,,-
4617056,매장식사,나우웨이팅 POS,이너프 샐러드,"할라피뇨 X, 양파 X",발사믹,onsite,4300,0,4300,2020-08-17 17:52:51,-,-,X,,-
4616993,"포장, 포장",나우웨이팅 POS,"이너프 샐러드, 닭가슴살 샐러드",,"오리엔탈, 렌치",onsite,10200,0,10200,2020-08-17 17:48:48,-,-,X,,-
4616974,매장식사,나우웨이팅 POS,목살 샐러드,"강낭콩 X, 올리브 X, 고구마(100g)",렌치,onsite,7800,0,7800,2020-08-17 17:47:30,-,-,X,,-
4616949,매장식사,나우웨이팅 POS,숲속 샐러드,목살(100g) 추가,발사믹,onsite,8500,0,8500,2020-08-17 17:45:56,-,-,X,,-
4616907,포장,나우웨이팅 POS,닭가슴살 샐러드,"숲속토핑(110g) 추가, 강낭콩X",렌치,onsite,8000,0,8000,2020-08-17 17:42:40,-,-,X,,-
4616742,포장,나우웨이팅 POS,"목살 샐러드, 목살 샐러드","할라피뇨X, 양파X, 고구마 50g 추가",오리엔탈,onsite,14200,0,14200,2020-08-17 17:32:09,-,-,X,,-
4616731,포장,나우웨이팅 POS,이너프 샐러드,,발사믹,onsite,4300,0,4300,2020-08-17 17:31:24,-,-,X,,-
4616704,포장,나우웨이팅 POS,목살 샐러드,"방울토마토 X, 강낭콩 X",오리엔탈,onsite,6400,0,6400,2020-08-17 17:28:57,-,-,X,,-
4616486,포장,나우웨이팅 POS,닭가슴살 샐러드,,오리엔탈,onsite,5900,0,5900,2020-08-17 17:15:42,-,-,X,,-
4616460,포장,나우웨이팅 POS,닭가슴살 샐러드,"계란, 고구마(100g)",오리엔탈,onsite,7800,0,7800,2020-08-17 17:13:35,-,-,X,,-
4616445,매장식사,나우웨이팅 POS,훈제연어 샐러드,,렌치,onsite,6900,0,6900,2020-08-17 17:12:35,-,-,X,,-
4616430,매장식사,나우웨이팅 POS,닭가슴살 샐러드,,오리엔탈,onsite,5900,0,5900,2020-08-17 17:11:50,-,-,X,,-
4616424,포장,나우웨이팅 POS,숲속 샐러드,"삶은달걀 추가, 할라피뇨X, 고구마 50g 추가",오리엔탈,onsite,7100,0,7100,2020-08-17 17:11:08,-,-,X,,-
4616418,매장식사,나우웨이팅 POS,훈제연어 샐러드,숲속토핑(110g) 추가,렌치,onsite,9000,0,9000,2020-08-17 17:10:46,-,-,X,,-
4616388,포장,나우웨이팅 POS,닭가슴살 샐러드,,발사믹,onsite,5900,0,3900,2020-08-17 17:09:25,-,-,X,,-
4616376,매장식사,나우웨이팅 POS,숲속 샐러드,,발사믹,onsite,5900,0,5900,2020-08-17 17:08:55,-,-,X,,-
4616323,포장,나우웨이팅 POS,숲속 샐러드,"올리브 X, 할라피뇨 X, 양파 X",오리엔탈,onsite,5900,0,5900,2020-08-17 17:05:15,-,-,X,,-
4616310,포장,나우웨이팅 POS,이너프 샐러드,,발사믹,onsite,4300,0,4300,2020-08-17 17:04:26,-,-,X,,-
4616201,"매장식사, 매장식사",나우웨이팅 POS,"닭가슴살 샐러드, 목살 샐러드",,"오리엔탈, 오리엔탈",onsite,12300,0,12300,2020-08-17 16:57:24,-,-,X,,-
4616150,포장,나우웨이팅 POS,목살 샐러드,,발사믹,onsite,6400,0,6400,2020-08-17 16:53:32,-,-,X,,-
4616121,"포장, 포장",나우웨이팅 POS,"목살 샐러드, 숲속 샐러드","할라피뇨 X, 올리브 X, 할라피뇨 X, 양파 X","발사믹, 발사믹",onsite,12300,0,12300,2020-08-17 16:51:38,-,-,X,,-
4616099,포장,나우웨이팅 POS,훈제연어 샐러드,"할라피뇨 X, 방울토마토 X",드레싱 제외,onsite,6900,0,6900,2020-08-17 16:50:12,-,-,X,,-
4616058,포장,나우웨이팅 POS,목살 샐러드,목살(100g) 추가,오리엔탈,onsite,9000,0,9000,2020-08-17 16:47:52,-,-,X,,-
4616028,매장식사,나우웨이팅 POS,닭가슴살 샐러드,,오리엔탈,onsite,5900,0,5900,2020-08-17 16:46:16,-,-,X,,-
4616025,포장,나우웨이팅 POS,닭가슴살 샐러드,"숲속토핑(110g) 추가, 스위트콘X, 올리브X, 할라피뇨X, 아몬드X, 고구마 100g 추가",렌치,onsite,9400,0,9400,2020-08-17 16:46:07,-,-,X,,-
4615992,매장식사,나우웨이팅 POS,닭가슴살 샐러드,,오리엔탈,onsite,5900,0,5900,2020-08-17 16:44:36,-,-,X,,-
4615979,포장,나우웨이팅 POS,닭가슴살 샐러드,"계란, 고구마(100g)",오리엔탈,onsite,7800,0,7800,2020-08-17 16:43:53,-,-,X,,-
4615963,"매장식사, 매장식사",나우웨이팅 POS,"숲속 샐러드, 닭가슴살 샐러드",,"오리엔탈, 발사믹",onsite,11800,0,11800,2020-08-17 16:43:06,-,-,X,,-
4615946,"포장, 포장",나우웨이팅 POS,"이너프 샐러드, 닭가슴살 샐러드","고구마(100g), 고구마(50g)","오리엔탈, 오리엔탈",onsite,12300,0,12300,2020-08-17 16:41:45,-,-,X,,-
