주문번호,수령방법,결제방법,항목,추가선택,드레싱,서비스타입,주문금액,배달팁,결제금액,주문시각,접수시각,배달시각,주소,요청사항,배달요청사항
B0LB003RY6,배달,만나서결제,"닭가슴살 샐러드, 닭가슴살 샐러드, 닭가슴살 샐러드","닭가슴살 (100g), 숲속토핑 (110g), 연어 (100g), 숲속토핑 (110g)","렌치, 렌치, 렌치",배민,25800,3500,29300,2020-02-07 11:03:11,2020-02-07 11:03:20,2020-02-07 12:03:20,전북 전주시 완산구 중화산2동 ****,영수증 부탁드립니다!!!,영수증 부탁드립니다!!!
B0LB003S70,배달,바로결제,"훈제연어 샐러드, 목살 샐러드",숲속토핑 (110g),"오리엔탈, 오리엔탈",배민,17900,2000,19900,2020-02-07 11:04:50,2020-02-07 11:04:58,2020-02-07 12:04:58,전북 전주시 덕진구 금암1동 ****,,[]
B0LB004ILH,배달,바로결제,"목살 샐러드, 목살 샐러드, 훈제연어 샐러드, 목살 샐러드","고구마 (50g), 고구마 (50g), 삶은 달걀, 렌치 드레싱","렌치, 렌치, 오리엔탈",배민,27200,2500,29700,2020-02-07 11:21:55,2020-02-07 11:22:48,2020-02-07 12:22:48,전북 전주시 완산구 중화산2동 ****,,[]
B0LB004K4G,배달,바로결제,훈제연어 샐러드,,렌치,배민,9900,3500,13400,2020-02-07 11:24:14,2020-02-07 11:24:21,2020-02-07 12:24:21,전라북도 전주시 덕진구 인후2동 ****,,전화주시면 바로나갈게요
B0LB004S4P,배달,바로결제,"숲속 샐러드, 목살 샐러드",고구마 (50g),"발사믹, 오리엔탈",배민,12100,3500,15600,2020-02-07 11:27:06,2020-02-07 11:27:14,2020-02-07 12:27:14,전북 전주시 완산구 서신동 ****,,[]
B0LB0056J2,TAKEOUT,바로결제,이너프 샐러드,,오리엔탈,배민,3900,0,3900,2020-02-07 11:37:37,2020-02-07 11:38:06,2020-02-07 11:58:06,금암1동 ****,,[]
B0LB006AJ1,배달,바로결제,"숲속 샐러드, 숲속 샐러드",,"렌치, 렌치",배민,11700,4500,16200,2020-02-07 12:01:15,2020-02-07 12:01:20,2020-02-07 13:01:20,전북 전주시 완산구 중화산2동 ****,삶은달걀이랑 올리브빼고 다른토핑많이넣어주세요,삶은달걀이랑 올리브빼고 다른토핑많이넣어주세요
B0LB00837K,배달,바로결제,"목살 샐러드, 목살 샐러드, 훈제연어 샐러드, 훈제연어 샐러드",,"렌치, 렌치",배민,25600,2500,28100,2020-02-07 12:36:35,2020-02-07 12:36:51,2020-02-07 13:36:51,전북 전주시 완산구 서신동 ****,,[]
B0LB00855T,배달,바로결제,"숲속 샐러드, 닭가슴살 샐러드, 목살 샐러드, 목살 샐러드","고구마 (50g), 고구마 (50g)","발사믹, 발사믹, 발사믹, 오리엔탈",배민,26700,2000,28700,2020-02-07 12:40:22,2020-02-07 12:40:30,2020-02-07 13:40:30,전북 전주시 덕진구 덕진동 ****,,주차장 쪽 후문으로 부탁드려요. 모르시면 전화주세요.
B0LB009FQ2,TAKEOUT,바로결제,목살 샐러드,,오리엔탈,배민,5900,0,5900,2020-02-07 13:07:26,2020-02-07 13:07:37,2020-02-07 13:27:37,금암1동 ****,,[]
B0LB009Z4D,배달,바로결제,"이너프 샐러드, 목살 샐러드",,"렌치, 발사믹",배민,9800,3000,12800,2020-02-07 13:20:48,2020-02-07 13:20:59,2020-02-07 14:20:59,전북 전주시 덕진구 금암1동 ****,콩 빼주세요!ㅎㅎ,콩 빼주세요!ㅎㅎ
B0LB00AVT2,배달,바로결제,"훈제연어 샐러드, 훈제연어 샐러드",,렌치,배민,12800,3500,16300,2020-02-07 13:49:47,2020-02-07 13:50:02,2020-02-07 14:50:02,전북 전주시 덕진구 인후2동 ****,아몬드많이뿌려주세요ㅎㅎ,아몬드많이뿌려주세요ㅎㅎ
B0LB00B8EJ,배달,만나서결제,"숲속 샐러드, 훈제연어 샐러드",,"렌치, 렌치",배민,16500,2000,18500,2020-02-07 13:55:42,2020-02-07 13:55:52,2020-02-07 14:55:52,전북 전주시 덕진구 금암1동 ****,,[]
B0LB00B8EH,TAKEOUT,바로결제,"숲속 샐러드, 목살 샐러드",,"오리엔탈, 오리엔탈",배민,11400,0,11400,2020-02-07 13:56:40,2020-02-07 13:56:48,2020-02-07 14:16:48,금암1동 ****,,[]
B0LB00GSSQ,TAKEOUT,바로결제,이너프 샐러드,고구마 (50g),오리엔탈,배민,4600,0,4600,2020-02-07 17:07:36,2020-02-07 17:07:47,2020-02-07 17:27:47,금암1동 ****,강낭콩 빼주세여!,강낭콩 빼주세여!
